Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Pretax Net Income,Other Operating Rev,Total Operating Rev,Total Margin,Operating Margin,Location
2014,106361370,VICTOR VALLEY GLOBAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,101,101,101,83299909,$2852687.00,$86152596.00,3.3%,3.4%,"VICTORVILLE, California
(34.5121, -117.323632)"
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,223,223,223,195981854,$4800831.00,$200782685.00,2.4%,2.4%,"ANAHEIM, California
(33.834492, -117.915638)"
2013,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,,,491,379,379,528989209,$51903460.00,$580892669.00,8.9%,9.8%,"ORANGE, California
(33.791489, -117.853096)"
2014,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,169,213014412,$19349840.00,$232364252.00,8.3%,9.1%,"FRENCH CAMP, California
(37.885226, -121.271517)"
2014,106390846,DAMERON HOSPITAL,San Joaquin,Non-Profit,Comparable,,,202,202,84,164003428,$1576045.00,$165579473.00,1%,1%,"STOCKTON, California
(37.957541, -121.292451)"
2012,106344017,SUTTER CENTER FOR PSYCHIATRY,Sacramento,Non-Profit,Comparable,,,73,73,73,24403505,$40272.00,$24443777.00,0.2%,0.2%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,San Diego,Non-Profit,Comparable,,,158,158,121,236813366,$1553282.00,$238366648.00,0.7%,0.7%,"ENCINITAS, California
(33.044805, -117.292447)"
2013,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,49,63310014,$989320.00,$64299334.00,1.5%,1.6%,"CRESCENT CITY, California
(41.754772, -124.204373)"
2014,106434220,CRESTWOOD PHF - SAN JOSE,Santa Clara,Investor,Psychiatric Health Facilities,,,16,16,16,4358930,$702418.00,$5061348.00,13.9%,16.1%,"SAN JOSE, California
(37.334807, -121.888128)"
2013,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,Teaching,,510,355,258,570877598,$11456518.00,$582334116.00,2%,2%,"SANTA BARBARA, California
(34.420867, -119.698342)"
2013,106110889,GLENN MEDICAL CENTER,Glenn,Non-Profit,Comparable,,Rural,47,15,15,14254410,$646835.00,$14901245.00,4.3%,4.5%,"WILLOWS, California
(39.520518, -122.198176)"
2012,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,347,347,634562353,$202943349.00,$837505702.00,24.2%,32%,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,Non-Profit,Comparable,,,89,89,89,28533935,$5147625.00,$33681560.00,15.3%,18%,"REDLANDS, California
(34.055562, -117.182603)"
2014,106244027,MARIE GREEN PSYCHIATRIC CENTER -PHF,Merced,City/County,Psychiatric Health Facilities,,,16,16,16,5264329,$0.00,$5264329.00,0%,0%,"MERCED, California
(37.306968, -120.481971)"
2014,106190500,MARINA DEL REY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,90,90,41,93575608,$2021261.00,$95596869.00,2.1%,2.2%,"MARINA DEL REY, California
(33.98384, -118.451422)"
2013,106334018,MENIFEE VALLEY MEDICAL CENTER,Riverside,District,Comparable,,,84,84,48,38918902,$456082.00,$39374984.00,1.2%,1.2%,"SUN CITY, California
(33.709202, -117.196404)"
2012,106190017,ALHAMBRA HOSPITAL - ALHAMBRA,Los Angeles,Investor,Comparable,,,144,144,144,80719860,$1817818.00,$82537678.00,2.2%,2.3%,"ALHAMBRA, California
(34.095162, -118.126842)"
2014,106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,55,55,55,25567752,$696431.00,$26264183.00,2.7%,2.7%,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,102,102,129746305,$694368.00,$130440673.00,0.5%,0.5%,"PALMDALE, California
(34.576469, -118.116103)"
2013,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,238,232,145,254750734,$8885759.00,$263636493.00,3.4%,3.5%,"VALENCIA, California
(34.389444, -118.564722)"
2014,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,144,144,144,107574937,$5081504.00,$112656441.00,4.5%,4.7%,"ALHAMBRA, California
(34.095162, -118.126842)"
2013,106190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,128,128,28,18672317,$1883756.00,$20556073.00,9.2%,10.1%,"GLENDORA, California
(34.136001, -117.865485)"
2014,106100005,COMMUNITY MEDICAL CENTER - CLOVIS,Fresno,Non-Profit,Comparable,,,208,208,146,246837460,$4091013.00,$250928473.00,1.6%,1.7%,"CLOVIS, California
(36.823982, -119.696376)"
2013,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,,,106,106,92,127610981,$186696.00,$127797677.00,0.1%,0.1%,"WATSONVILLE, California
(36.910233, -121.756873)"
2012,106190392,GOOD SAMARITAN HOSPITAL - LA,Los Angeles,Non-Profit,Comparable,,,408,313,180,283208669,$7743150.00,$290951819.00,2.7%,2.7%,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106281078,ST. HELENA HOSPITAL,Napa,Non-Profit,Comparable,,,151,116,58,175265449,$5680462.00,$180945911.00,3.1%,3.2%,"ST. HELENA, California
(38.50523, -122.470341)"
2013,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,121593644,$734221.00,$122327865.00,0.6%,0.6%,"PALMDALE, California
(34.576469, -118.116103)"
2013,106334457,OASIS PHF,Riverside,Investor,Psychiatric Health Facilities,,,16,16,16,3497296,$0.00,$3497296.00,0%,0%,"INDIO, California
(33.718649, -116.218182)"
2013,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,Investor,Comparable,,,81,81,81,42450973,$567344.00,$43018317.00,1.3%,1.3%,"HUNTINGTON PARK, California
(33.979272, -118.219087)"
2013,106540816,TULARE REGIONAL MEDICAL CENTER,Tulare,District,Comparable,,,112,103,103,59329695,$2303624.00,$61633319.00,3.7%,3.9%,"TULARE, California
(36.196549, -119.343523)"
2013,106320859,EASTERN PLUMAS HEALTH CARE,Plumas,District,Comparable,,Rural,76,75,48,18203873,$66219.00,$18270092.00,0.4%,0.4%,"PORTOLA, California
(39.812099, -120.464742)"
2014,106150722,BAKERSFIELD MEMORIAL HOSPITAL,Kern,Non-Profit,Comparable,,,426,403,403,351551382,$8070295.00,$359621677.00,2.2%,2.3%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106040962,ENLOE MEDICAL CENTER-ESPLANADE CAMPUS,Butte,Non-Profit,Comparable,,,298,277,265,409494798,$2462321.00,$411957119.00,0.6%,0.6%,"CHICO, California
(39.728956, -121.838779)"
2013,106010987,WASHINGTON HOSPITAL - FREMONT,Alameda,District,Comparable,,,353,299,299,419091570,$4461671.00,$423553241.00,1.1%,1.1%,"FREMONT, California
(37.550195, -121.980829)"
2014,106190034,ANTELOPE VALLEY HOSPITAL,Los Angeles,District,Comparable,,,420,393,252,346414741,$9130036.00,$355544777.00,2.6%,2.6%,"LANCASTER, California
(34.697472, -118.144521)"
2014,106190045,CATALINA ISLAND MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,Rural,12,12,12,8338571,$701761.00,$9040332.00,7.8%,8.4%,"AVALON, California
(33.343548, -118.32219)"
2012,106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,Riverside,Non-Profit,Comparable,,,240,240,120,136669868,$1026767.00,$137696635.00,0.7%,0.8%,"CORONA, California
(33.875665, -117.568843)"
2014,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,638448522,$5932000.00,$644380522.00,0.9%,0.9%,"CARMICHAEL, California
(38.636604, -121.327265)"
2013,106301234,LA PALMA INTERCOMMUNITY HOSPITAL,Orange,Investor,Comparable,,,141,141,141,57182245,$1566761.00,$58749006.00,2.7%,2.7%,"LA PALMA, California
(33.849902, -118.037303)"
2013,106420493,MARIAN MEDICAL CENTER,Santa Barbara,Non-Profit,Comparable,,,502,350,339,346953869,$3776999.00,$350730868.00,1.1%,1.1%,"SANTA MARIA, California
(34.948403, -120.435881)"
2013,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,148,176324546,$5202195.00,$181526741.00,2.9%,3%,"FRENCH CAMP, California
(37.885226, -121.271517)"
2013,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,San Luis Obispo,Non-Profit,Comparable,,,67,67,58,1501443,$10404.00,$1511847.00,0.7%,0.7%,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2012,106190958,METROPOLITAN STATE HOSPITAL,Los Angeles,State,State Hospitals,,,1054,684,650,361576195,$0.00,$361576195.00,0%,0%,"NORWALK, California
(33.914183, -118.072494)"
2013,106491267,SONOMA DEVELOPMENTAL CENTER,Sonoma,State,State Hospitals,,,1413,1388,477,220133226,$0.00,$220133226.00,0%,0%,"ELDRIDGE, California
(38.339376, -122.50875)"
2013,106450936,MAYERS MEMORIAL HOSPITAL,Shasta,District,Comparable,,Rural,121,121,121,21191666,$794614.00,$21986280.00,3.6%,3.7%,"FALL RIVER MILLS, California
(41.003555, -121.439959)"
2013,106304159,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,Orange,Investor,Comparable,,,27,27,27,9478012,$4119.00,$9482131.00,0%,0%,"ORANGE, California
(33.791489, -117.853096)"
2013,106340947,MERCY GENERAL HOSPITAL,Sacramento,Non-Profit,Comparable,,,342,304,304,526601000,$12266000.00,$538867000.00,2.3%,2.3%,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,Non-Profit,Comparable,,,89,89,89,30700629,$2177831.00,$32878460.00,6.6%,7.1%,"REDLANDS, California
(34.055562, -117.182603)"
2012,106013687,MERRITT PERALTA INSTITUTE CDRH,Alameda,Non-Profit,Comparable,,,24,24,24,9184313,$37221.00,$9221534.00,0.4%,0.4%,"OAKLAND, California
(37.804828, -122.27248)"
2014,106382715,CHINESE HOSPITAL,San Francisco,Non-Profit,Comparable,,,54,52,24,112815104,$6724487.00,$119539591.00,5.6%,6%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106361339,ST. BERNARDINE MEDICAL CENTER,San Bernardino,Non-Profit,Comparable,,,463,325,314,305141763,$1591344.00,$306733107.00,0.5%,0.5%,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2013,106434220,CRESTWOOD PHF - SAN JOSE,Santa Clara,Investor,Psychiatric Health Facilities,,,16,16,16,3853900,$67830.00,$3921730.00,1.7%,1.8%,"SAN JOSE, California
(37.334807, -121.888128)"
2014,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,136,61321346,$-618086.00,$60703260.00,-1%,-1%,"JOSHUA TREE, California
(34.126919, -116.315127)"
2014,106364188,KINDRED HOSPITAL - RANCHO,San Bernardino,Non-Profit,Comparable,,,55,55,51,44488910,$121407.00,$44610317.00,0.3%,0.3%,"RANCHO CUCAMONGA, California
(34.106399, -117.575764)"
2012,106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,72,72,72,30150714,$0.00,$30150714.00,0%,0%,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106074017,SAN RAMON REGIONAL MEDICAL CENTER,Contra Costa,Investor,Comparable,,,123,112,42,150252786,$980522.00,$151233308.00,0.6%,0.7%,"SAN RAMON, California
(37.764907, -121.951061)"
2012,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,466,466,2342987326,$76421788.00,$2419409114.00,3.2%,3.3%,"PALO ALTO, California
(37.445103, -122.160363)"
2014,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,Non-Profit,Comparable,,,400,286,286,265886408,$5931718.00,$271818126.00,2.2%,2.2%,"ARCADIA, California
(34.136534, -118.040889)"
2014,106214034,NOVATO COMMUNITY HOSPITAL,Marin,Non-Profit,Comparable,,,47,47,18,58361856,$19477668.00,$77839524.00,25%,33.4%,"NOVATO, California
(38.109189, -122.578257)"
2012,106190712,SHRINERS HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Shriners Hospitals,,,60,60,60,0,$116805.00,$116805.00,100%,0%,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,,,491,379,379,538829135,$19996668.00,$558825803.00,3.6%,3.7%,"ORANGE, California
(33.791489, -117.853096)"
2013,106504038,STANISLAUS SURGICAL HOSPITAL,Stanislaus,Investor,Comparable,,,23,23,23,30831190,$2499751.00,$33330941.00,7.5%,8.1%,"MODESTO, California
(37.640735, -121.002435)"
2013,106301209,HUNTINGTON BEACH HOSPITAL,Orange,Investor,Comparable,,,131,131,131,56078826,$1512120.00,$57590946.00,2.6%,2.7%,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2014,106481015,ST. HELENA HOSPITAL - BEHAVIORAL HEALTH,Solano,Non-Profit,Comparable,,,61,61,55,22275356,$238121.00,$22513477.00,1.1%,1.1%,"VALLEJO, California
(38.101088, -122.254959)"
2014,106430883,SANTA CLARA VALLEY MEDICAL CENTER,Santa Clara,City/County,Comparable,Teaching,,574,554,338,914788878,$65957070.00,$980745948.00,6.7%,7.2%,"SAN JOSE, California
(37.334807, -121.888128)"
2012,106090933,MARSHALL MEDICAL CENTER.,El Dorado,Non-Profit,Comparable,,Rural,113,113,113,196365498,$1325579.00,$197691077.00,0.7%,0.7%,"PLACERVILLE, California
(38.729652, -120.799147)"
2014,106220733,JOHN C FREMONT HEALTHCARE DISTRICT,Mariposa,District,Comparable,,Rural,34,33,33,16043677,$964796.00,$17008473.00,5.7%,6%,"MARIPOSA, California
(37.484274, -119.964786)"
2013,106380842,JEWISH HOME,San Francisco,Non-Profit,LTC Emphasis,,,491,375,359,55770951,$726683.00,$56497634.00,1.3%,1.3%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106381154,UCSF MEDICAL CENTER,San Francisco,Non-Profit,Comparable,Teaching,,660,660,660,2006982896,$61792796.00,$2068775692.00,3%,3.1%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2013,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,130415663,$2772891.00,$133188554.00,2.1%,2.1%,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,Investor,Comparable,,,99,99,99,41598137,$104405.00,$41702542.00,0.3%,0.3%,"SAN LEANDRO, California
(37.728364, -122.158612)"
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,Fresno,District,Comparable,,Rural,49,49,12,37186372,$365787.00,$37552159.00,1%,1%,"REEDLEY, California
(36.597911, -119.456221)"
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,Humboldt,Investor,Comparable,,,78,46,42,51392108,$1055397.00,$52447505.00,2%,2.1%,"ARCATA, California
(40.868186, -124.090548)"
2014,106100899,ST. AGNES MEDICAL CENTER,Fresno,Non-Profit,Comparable,,,436,436,436,380462613,$9578906.00,$390041519.00,2.5%,2.5%,"FRESNO, California
(36.731654, -119.785856)"
2013,106370755,PALOMAR HEALTH DOWNTOWN CAMPUS,San Diego,District,Comparable,,,679,679,270,510565920,$8683536.00,$519249456.00,1.7%,1.7%,"ESCONDIDO, California
(33.130363, -117.085357)"
2013,106440755,DOMINICAN HOSPITAL - SANTA CRUZ/SOQUEL,Santa Cruz,Non-Profit,Comparable,,,251,136,136,353058058,$6746282.00,$359804340.00,1.9%,1.9%,"SANTA CRUZ, California
(36.97414, -122.028795)"
2014,106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,Investor,Comparable,,,164,164,60,128938105,$1329458.00,$130267563.00,1%,1%,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2013,106334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,Riverside,Investor,Comparable,,,252,252,252,207300995,$4874394.00,$212175389.00,2.3%,2.4%,"MURRIETA, California
(33.559752, -117.220777)"
2014,106190762,ST. VINCENT MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,366,333,333,192632025,$15699787.00,$208331812.00,7.5%,8.2%,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,466,466,2549711608,$68569572.00,$2618281180.00,2.6%,2.7%,"PALO ALTO, California
(37.445103, -122.160363)"
2013,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,373,373,222,343601813,$7125508.00,$350727321.00,2%,2.1%,"LONG BEACH, California
(33.767168, -118.193723)"
2014,106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,Los Angeles,Non-Profit,Comparable,,,145,145,135,81907156,$1703051.00,$83610207.00,2%,2.1%,"PANORAMA CITY, California
(34.224701, -118.448898)"
2014,106344011,SACRAMENTO COUNTY MENTAL HEALTH CENTER-PHF,Sacramento,City/County,Psychiatric Health Facilities,,,50,50,50,11911680,$0.00,$11911680.00,0%,0%,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,2,13151637,$0.00,$13151637.00,0%,0%,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106060870,COLUSA REGIONAL MEDICAL CENTER,Colusa,Non-Profit,Comparable,,Rural,48,48,36,19438318,$298099.00,$19736417.00,1.5%,1.5%,"COLUSA, California
(39.209238, -122.008373)"
2012,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,49,63151816,$516599.00,$63668415.00,0.8%,0.8%,"CRESCENT CITY, California
(41.754772, -124.204373)"
2013,106380939,SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,San Francisco,City/County,Comparable,Teaching,,598,564,383,717793732,$62440892.00,$780234624.00,8%,8.7%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106341051,SUTTER MEDICAL CENTER - SACRAMENTO,Sacramento,Non-Profit,Comparable,,,646,646,402,872016530,$7502235.00,$879518765.00,0.9%,0.9%,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106361308,REDLANDS COMMUNITY HOSPITAL,San Bernardino,Non-Profit,Comparable,,,229,229,195,287010803,$4292034.00,$291302837.00,1.5%,1.5%,"REDLANDS, California
(34.055562, -117.182603)"
2014,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,64,35,50080816,$965870.00,$51046686.00,1.9%,1.9%,"SONOMA, California
(38.291962, -122.458003)"
2014,106190196,KINDRED HOSPITAL - SOUTH BAY,Los Angeles,Investor,Comparable,,,84,84,84,44727238,$30483.00,$44757721.00,0.1%,0.1%,"GARDENA, California
(33.883764, -118.309144)"
2013,106500939,MEMORIAL HOSPITAL - MODESTO,Stanislaus,Non-Profit,Comparable,,,423,423,423,523279359,$11395147.00,$534674506.00,2.1%,2.2%,"MODESTO, California
(37.640735, -121.002435)"
2014,106500939,MEMORIAL HOSPITAL - MODESTO,Stanislaus,Non-Profit,Comparable,,,423,423,244,522633559,$18315393.00,$540948952.00,3.4%,3.5%,"MODESTO, California
(37.640735, -121.002435)"
2014,106190784,TEMPLE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,170,170,130,20070109,$15418.00,$20085527.00,0.1%,0.1%,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106190066,BELLFLOWER MEDICAL CENTER,Los Angeles,Investor,Comparable,,,114,110,110,11699142,$41587.00,$11740729.00,0.4%,0.4%,"BELLFLOWER, California
(33.882076, -118.125256)"
2014,106190712,SHRINERS HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Shriners Hospitals,,,60,60,60,0,$90111.00,$90111.00,100%,0%,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106331168,EISENHOWER MEDICAL CENTER,Riverside,Non-Profit,Comparable,,,540,380,380,416460492,$9733355.00,$426193847.00,2.3%,2.3%,"RANCHO MIRAGE, California
(33.742298, -116.410904)"
2014,106231013,MENDOCINO COAST DISTRICT HOSPITAL,Mendocino,District,Comparable,,Rural,25,25,17,46435723,$1113205.00,$47548928.00,2.3%,2.4%,"FORT BRAGG, California
(39.445486, -123.804543)"
2014,106190517,PROVIDENCE TARZANA MEDICAL CENTER,Los Angeles,Investor,Comparable,,,245,245,201,231824112,$2982706.00,$234806818.00,1.3%,1.3%,"TARZANA, California
(34.173302, -118.553101)"
2012,106190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,128,128,128,22092084,$1040454.00,$23132538.00,4.5%,4.7%,"GLENDORA, California
(34.136001, -117.865485)"
2014,106240942,MERCY MEDICAL CENTER - MERCED,Merced,Non-Profit,Comparable,,,186,186,125,265598807,$3203165.00,$268801972.00,1.2%,1.2%,"MERCED, California
(37.306968, -120.481971)"
2013,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,126,200735399,$4684172.00,$205419571.00,2.3%,2.3%,"SONORA, California
(37.982943, -120.382117)"
2014,106190521,MEMORIAL HOSPITAL - GARDENA,Los Angeles,Investor,Comparable,,,172,172,149,102558620,$1106406.00,$103665026.00,1.1%,1.1%,"GARDENA, California
(33.883764, -118.309144)"
2014,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,105,105,69,81185467,$1475013.00,$82660480.00,1.8%,1.8%,"GLENDORA, California
(34.136001, -117.865485)"
2013,106121051,REDWOOD MEMORIAL HOSPITAL,Humboldt,Non-Profit,Comparable,,Rural,35,25,25,41077746,$919024.00,$41996770.00,2.2%,2.2%,"FORTUNA, California
(40.58858, -124.146858)"
2012,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,San Luis Obispo,Non-Profit,Comparable,,,67,67,58,56903150,$986249.00,$57889399.00,1.7%,1.7%,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2013,106342392,SIERRA VISTA HOSPITAL,Sacramento,Investor,Comparable,,,120,120,120,33710048,$30447.00,$33740495.00,0.1%,0.1%,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,301,301,187,492815703,$19383631.00,$512199334.00,3.8%,3.9%,"BURLINGAME, California
(37.584195, -122.366265)"
2012,106190552,MOTION PICTURE & TELEVISION HOSPITAL,Los Angeles,Non-Profit,Comparable,,,405,386,210,52683407,$51983375.00,$104666782.00,49.7%,98.7%,"WOODLAND HILLS, California
(34.168301, -118.605003)"
2012,106040802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,Butte,Non-Profit,Comparable,,Rural,45,45,31,22636872,$1144248.00,$23781120.00,4.8%,5.1%,"GRIDLEY, California
(39.363578, -121.696463)"
2013,106434051,CHILDRENS RECOVERY CENTER OF NO CALIFORNIA,Santa Clara,Investor,Comparable,,,29,27,22,8478623,$0.00,$8478623.00,0%,0%,"CAMPBELL, California
(37.28766, -121.942432)"
2014,106494106,SUTTER SANTA ROSA REGIONAL HOSPITAL,Sonoma,Non-Profit,Comparable,,,84,84,84,37803649,$241167.00,$38044816.00,0.6%,0.6%,"SANTA ROSA, California
(38.439698, -122.715642)"
2013,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Contra Costa,Non-Profit,Comparable,,,267,237,130,361853563,$4429417.00,$366282980.00,1.2%,1.2%,"CONCORD, California
(37.979103, -122.031333)"
2013,106301258,COASTAL COMMUNITIES HOSPITAL,Orange,Investor,Comparable,,,178,178,178,52861668,$2215911.00,$55077579.00,4%,4.2%,"SANTA ANA, California
(33.749738, -117.869781)"
2014,106342392,SIERRA VISTA HOSPITAL,Sacramento,Investor,Comparable,,,120,120,120,36239121,$14171.00,$36253292.00,0%,0%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,444,444,238,441901687,$20142699.00,$462044386.00,4.4%,4.6%,"WHITTIER, California
(33.967318, -118.048051)"
2012,106342392,SIERRA VISTA HOSPITAL,Sacramento,Investor,Comparable,,,120,120,120,31823101,$1187348.00,$33010449.00,3.6%,3.7%,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,City/County,Comparable,,,146,146,101,295125868,$71867848.00,$366993716.00,19.6%,24.4%,"MARTINEZ, California
(38.018992, -122.134855)"
2013,106331226,VISTA BEHAVIORAL HOSPITAL,Riverside,Investor,Comparable,,,68,68,48,5375000,$15133.00,$5390133.00,0.3%,0.3%,"RIVERSIDE, California
(33.980534, -117.377025)"
2013,106304113,CHILDREN'S HOSPITAL - MISSION,Orange,Non-Profit,Comparable,,,54,54,23,56033321,$607935.00,$56641256.00,1.1%,1.1%,"MISSION VIEJO, California
(33.595018, -117.659099)"
2012,106211006,MARIN GENERAL HOSPITAL,Marin,Non-Profit,Comparable,,,235,150,150,310500187,$6678150.00,$317178337.00,2.1%,2.2%,"GREENBRAE, California
(37.948611, -122.524722)"
2014,106320986,PLUMAS DISTRICT HOSPITAL,Plumas,District,Comparable,,Rural,25,25,25,19628189,$1744102.00,$21372291.00,8.2%,8.9%,"QUINCY, California
(39.936754, -120.948961)"
2012,106450940,SHASTA REGIONAL MEDICAL CENTER,Shasta,Investor,Comparable,,,246,246,246,144421203,$3437575.00,$147858778.00,2.3%,2.4%,"REDDING, California
(40.574637, -122.38109)"
2014,106190587,COLLEGE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,54607241,$2480560.00,$57087801.00,4.3%,4.5%,"LONG BEACH, California
(33.767168, -118.193723)"
2013,106491064,SANTA ROSA MEMORIAL HOSPITAL,Sonoma,Non-Profit,Comparable,,,414,414,238,376342155,$3146280.00,$379488435.00,0.8%,0.8%,"SANTA ROSA, California
(38.439698, -122.715642)"
2013,106190280,ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,150,150,150,47619347,$863674.00,$48483021.00,1.8%,1.8%,"ENCINO, California
(34.159199, -118.500298)"
2013,106190796,RONALD REAGAN UCLA MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,466,466,466,1417086647,$122421187.00,$1539507834.00,8%,8.6%,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106500867,EMANUEL MEDICAL CENTER,Stanislaus,Non-Profit,Comparable,,,354,327,254,187066164,$10172499.00,$197238663.00,5.2%,5.4%,"TURLOCK, California
(37.492749, -120.848984)"
2013,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,District,Comparable,,Rural,176,159,133,82916855,$2585571.00,$85502426.00,3%,3.1%,"HOLLISTER, California
(36.852513, -121.402063)"
